계약일,자치구명,법정동명,주소,건물명,층,위도,경도,전월세 구분,임대면적(㎡),보증금(만원),임대료(만원),계약기간,신규갱신여부,계약갱신권사용여부,종전 보증금,종전 임대료,건축년도,건물용도
202459,종로구,동숭동,서울특별시 종로구 동숭동,,,,,전세,33,"11,000",0,24.05~26.05,신규,,,,,단독다가구
202459,용산구,서계동,서울특별시 용산구 서계동,,,,,월세,33,"10,000",10,24.06~26.06,신규,,,,,단독다가구
202459,종로구,명륜4가,서울특별시 종로구 명륜4가,,,,,월세,12,200,40,24.05~26.01,신규,,,,,단독다가구
202459,용산구,갈월동,서울특별시 용산구 갈월동,,,,,전세,36,"15,000",0,24.05~26.05,갱신,,"9,000",,,단독다가구
202459,용산구,용산동2가,서울특별시 용산구 용산동2가,,,,,전세,30,"14,000",0,24.05~26.05,신규,,,,,단독다가구
202459,종로구,명륜3가,서울특별시 종로구 명륜3가,,,,,전세,15,"8,500",0,,,,,,,단독다가구
202459,종로구,명륜3가,서울특별시 종로구 명륜3가,,,,,전세,37.26,"11,200",0,24.06~26.06,신규,,,,,단독다가구
202459,종로구,명륜3가,서울특별시 종로구 명륜3가,,,,,전세,37.26,"11,200",0,24.07~26.06,신규,,,,,단독다가구
202459,용산구,후암동,서울특별시 용산구 후암동,,,,,전세,49.92,"12,500",0,24.05~26.05,신규,,,,,단독다가구
202459,용산구,후암동,서울특별시 용산구 후암동,,,,,전세,21.82,"10,000",0,24.05~26.05,신규,,,,,단독다가구
202459,종로구,명륜3가,서울특별시 종로구 명륜3가,,,,,전세,70,"20,000",0,24.06~26.06,신규,,,,,단독다가구
202459,종로구,명륜3가,서울특별시 종로구 명륜3가,,,,,월세,15,500,50,24.04~24.10,갱신,,500,50,,단독다가구
202459,용산구,청파동2가,서울특별시 용산구 청파동2가,,,,,전세,14.84,"8,260",0,24.06~26.06,신규,,,,,단독다가구
202459,중구,황학동,서울특별시 중구 황학동,,,,,월세,40,"12,000",3,24.05~26.05,갱신,사용,"12,000",,,단독다가구
2024510,종로구,내수동,서울특별시 종로구 내수동 75,용비어천가,2,37.57294,126.9718,월세,33,"1,000",95,24.06~25.06,신규,,,,2004,오피스텔
2024510,종로구,경운동,서울특별시 종로구 경운동 89-4,운현궁 에스케이 허브,8,37.57489,126.98625,전세,23.66,"19,000",0,24.06~25.06,갱신,,"18,000",,2005,오피스텔
2024511,종로구,원남동,서울특별시 종로구 원남동 66-6,휴스턴오피스텔 창경궁 C,5,37.57538,126.99723,월세,36.62,"30,000",15,24.06~26.06,신규,,,,2022,오피스텔
2024513,종로구,효제동,서울특별시 종로구 효제동 45,반도 보라 아이비 타워,6,37.5732,127.00299,월세,30.7,"1,000",75,24.05~26.05,신규,,,,2003,오피스텔
2024514,종로구,관수동,서울특별시 종로구 관수동 98-1,종로 하이뷰 디아트,4,37.5688,126.99018,월세,19.8,"4,000",85,24.06~25.06,신규,,,,2020,오피스텔
202452,종로구,인의동,서울특별시 종로구 인의동 28-26,루비온오피스텔,2,37.57236,126.9971,월세,18.2,"1,000",88,24.05~25.05,신규,,,,2021,오피스텔
202453,종로구,관철동,서울특별시 종로구 관철동 23,프라움스테이,3,37.56878,126.98563,월세,27.68,"1,000",29,24.05~26.06,신규,,,,2023,오피스텔
202453,종로구,인의동,서울특별시 종로구 인의동 28-26,루비온오피스텔,13,37.57236,126.9971,월세,18.2,"1,500",25,23.12~26.03,갱신,,100,33,2021,오피스텔
202456,종로구,연지동,서울특별시 종로구 연지동 238-5,로얄파크뷰,7,37.57358,126.99949,월세,18.66,"16,580",10,24.06~26.06,신규,,,,2019,오피스텔
202459,종로구,종로5가,서울특별시 종로구 종로5가 138-4,종로5가역 하이뷰더광장,10,37.57049,127.00301,전세,18.97,"25,000",0,24.06~26.06,신규,,,,2022,오피스텔
